Pos.,Sexe,Nom,freq,permil
475,D,gema,1875,0.24
476,D,yaiza,1873,0.24
477,D,desiree,1862,0.24
478,H,adolfo,1855,0.24
479,D,maria francisca,1854,0.24
479,D,zoe,1854,0.24
481,H,anas,1852,0.24
482,H,ernest,1845,0.24
483,H,francisco manuel,1843,0.24
484,D,saray,1830,0.23
485,H,alexis,1824,0.23
486,D,herminia,1823,0.23
487,H,benjamin,1809,0.23
488,D,maria mar,1803,0.23
489,D,gina,1797,0.23
490,D,maria paz,1792,0.23
490,H,narcis,1792,0.23
492,H,leonardo,1790,0.23
493,D,africa,1783,0.23
494,H,benito,1782,0.23
494,H,kilian,1782,0.23
496,D,lina,1778,0.23
497,H,vicenç,1775,0.23
498,D,samira,1763,0.23
499,D,maria fernanda,1749,0.22
500,D,malika,1740,0.22
501,D,thais,1739,0.22
502,H,gerardo,1735,0.22
503,D,estrella,1729,0.22
504,H,bernardo,1727,0.22
505,D,amanda,1726,0.22
506,D,maria angela,1719,0.22
507,H,juan pablo,1714,0.22
508,H,thiago,1703,0.22
509,D,maria cruz,1701,0.22
510,H,rodrigo,1699,0.22
511,D,petra,1687,0.22
512,H,borja,1681,0.22
513,H,mamadou,1675,0.21
514,D,piedad,1667,0.21
515,H,asier,1664,0.21
515,D,margarida,1664,0.21
517,H,marco antonio,1662,0.21
518,H,brahim,1658,0.21
519,D,candela,1652,0.21
520,H,jacinto,1650,0.21
521,H,abdeslam,1646,0.21
522,D,iria,1645,0.21
523,H,jose ignacio,1643,0.21
524,D,naia,1642,0.21
525,D,saida,1632,0.21
526,H,jose angel,1628,0.21
527,H,jose javier,1625,0.21
527,H,yeray,1625,0.21
529,H,yassine,1624,0.21
530,D,maite,1615,0.21
531,D,nayara,1611,0.21
532,H,abdelaziz,1608,0.21
533,D,rachida,1602,0.21
534,H,abraham,1597,0.2
534,H,teo,1597,0.2
536,D,angelina,1591,0.2
537,D,paola,1590,0.2
538,D,elizabeth,1581,0.2
539,D,jenifer,1579,0.2
540,H,fermin,1577,0.2
541,D,encarna,1572,0.2
542,D,angels,1565,0.2
543,D,lydia,1561,0.2
544,H,abdelkader,1560,0.2
545,D,karima,1557,0.2
545,H,pascual,1557,0.2
547,H,marçal,1544,0.2
548,D,maria del roser,1537,0.2
549,H,bartolome,1535,0.2
550,H,amir,1531,0.2
551,H,josep lluis,1528,0.2
552,H,ismail,1518,0.19
553,D,nina,1517,0.19
554,D,maria neus,1510,0.19
555,D,hajar,1507,0.19
556,D,juana maria,1504,0.19
557,D,fatiha,1501,0.19
558,H,artur,1494,0.19
558,H,dario,1494,0.19
560,H,blai,1482,0.19
561,D,ares,1471,0.19
562,D,laila,1464,0.19
563,D,maria del rosario,1462,0.19
564,D,estel,1458,0.19
565,D,yasmin,1456,0.19
566,D,nicole,1454,0.19
567,D,maria alba,1447,0.19
568,H,imran,1435,0.18
569,D,rut,1434,0.18
570,D,maria encarnacion,1430,0.18
571,H,damian,1427,0.18
572,H,armando,1425,0.18
573,D,ada,1423,0.18
574,H,llorenç,1416,0.18
574,H,xavi,1416,0.18
576,D,aurelia,1415,0.18
577,D,adelina,1414,0.18
578,H,moussa,1409,0.18
579,H,julio cesar,1408,0.18
579,H,zakaria,1408,0.18
581,D,maribel,1405,0.18
582,H,gines,1403,0.18
583,H,simon,1384,0.18
584,H,karim,1383,0.18
585,H,marcelino,1379,0.18
586,H,ayman,1378,0.18
587,H,denis,1364,0.18
588,D,hanane,1356,0.17
589,H,blas,1349,0.17
589,D,jesica,1349,0.17
591,H,antonio manuel,1347,0.17
591,D,bouchra,1347,0.17
593,H,jamal,1345,0.17
594,H,noah,1340,0.17
595,H,jeronimo,1335,0.17
595,D,vega,1335,0.17
597,H,joan carles,1332,0.17
598,D,amira,1331,0.17
599,D,agnes,1329,0.17
599,H,yassin,1329,0.17
601,H,josep antoni,1321,0.17
602,D,cloe,1319,0.17
602,D,regina,1319,0.17
604,H,jorge luis,1311,0.17
605,H,mohammad,1308,0.17
606,H,josep oriol,1307,0.17
607,H,eusebio,1304,0.17
608,D,susanna,1300,0.17
609,D,latifa,1293,0.17
610,H,gustavo,1272,0.16
611,H,mimoun,1263,0.16
612,H,carmelo,1260,0.16
613,H,claudio,1257,0.16
614,D,maria begoña,1252,0.16
