IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
779818	1978	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	3	4	1	2	5	2	2	1	5	2	5	5	1	1	1	4	2	1	1	 	 	1	 	 	3	3	2	 	99	1	2	 	3	3	3	3	3	2	2	4	2	3	2	2	2	2	2	1	1	1	9	10	10	10	10	10	10	10	10	 	 	 	 	2	1	3	1	6	6	7	7	2	2	 	 	1	0	4	1	1	4	1	5	879393
779918	1989	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	2	1	1	2	1	99	2	2	5	2	3	5	3	 	 	 	 	0	 	 	 	 	 	 	4	4	1	1	2	1	3	 	2	88	2	2	2	2	2	2	2	4	1	2	2	2	2	2	2	1	3	10	10	10	10	10	10	10	10	 	 	 	 	2	0	5	0	8	6	8	7	2	2	 	 	1	0	3	1	1	5	1	3	933716
780018	1945	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	1	2	1	2	2	1	1	3	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	4	1	2	1	88	1	1	1	1	1	1	1	1	5	1	2	2	2	2	1	1	1	9	10	10	8	10	10	10	10	 	 	 	 	5	2	4	0	0	0	0	0	1	2	 	4	1	0	2	1	6	1	1	12	851135
780118	1985	2	193	1	2	2	 	 	1	1	1	1	 	 	 	 	999	2	1	1	1	1	2	 	 	 	2	5	3	2	5	193	3	3	8	193	6	6	3	 	 	 	 	0	 	 	 	 	 	 	8	5	2	 	99	1	2	 	8	5	5	5	5	5	5	5	5	8	1	4	5	2	3	2	2	2	99	6	0	3	0	10	10	10	10	 	 	 	 	0	0	0	0	6	6	6	6	2	1	1	 	3	2007	4	2	1	4	1	4	903019
780218	1964	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	1	1	2	1	99	1	2	1	99	1	4	1	1	1	1	1	2	1	1	 	1	1	 	3	3	2	 	99	1	3	 	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	3	10	10	10	7	10	10	10	10	 	 	 	 	3	2	2	1	3	2	2	1	2	1	7	 	1	0	3	1	1	5	1	8	873807
780318	1968	2	 	2	 	 	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	99	5	2	2	99	5	2	5	5	1	1	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	5	98	4	99	4	3	2	2	2	5	0	0	0	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	2	1998	2	1	6	99	1	7	782006
780418	1976	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	99	1	1	1	1	2	 	 	 	1	99	2	2	5	2	2	3	5	2	5	5	99	 	 	 	 	0	 	 	 	 	 	 	3	3	2	 	99	99	 	 	99	99	3	3	99	1	1	99	3	4	1	2	2	2	1	2	2	1	9	10	10	10	10	10	10	10	10	 	 	 	 	6	3	5	3	9	7	9	8	2	2	 	 	2	0	3	99	1	99	1	6	875006
780518	1937	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	1	99	1	2	1	1	2	2	1	2	1	97	2	 	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	4	5	 	1	2	1	1	2	1	1	4	1	1	1	1	1	2	1	1	2	1	1	10	10	10	7	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	1	0	2	1	6	6	1	14	851135
780618	1975	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	3	4	1	3	4	2	2	3	4	2	4	5	1	1	1	4	2	1	1	 	 	1	 	 	2	4	2	 	99	1	2	 	2	1	3	3	1	1	1	1	1	3	2	2	2	2	2	1	1	1	7	10	10	10	10	10	10	10	10	 	 	 	 	3	0	3	0	10	10	10	10	2	1	 	 	1	0	4	1	1	4	1	6	879393
780718	2000	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	4	1	1	4	1	1	1	4	1	1	1	1	3	 	 	 	 	0	 	 	 	 	 	 	1	1	1	1	1	7	 	 	99	99	2	2	1	1	99	99	1	1	1	1	2	2	1	1	1	1	2	10	10	10	10	9	7	6	7	 	 	 	 	4	3	1	0	7	7	8	8	2	1	 	 	1	0	3	1	1	99	1	1	933716
780818	1954	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	2	 	 	 	2	 	 	 	2	4	2	2	5	2	2	2	5	2	5	5	1	1	2	4	2	2	1	1	 	3	3	 	3	3	2	 	99	4	2	 	3	3	3	3	3	1	1	1	1	3	2	2	2	2	2	2	2	1	3	10	9	9	7	10	10	10	9	 	 	 	 	3	3	3	2	3	3	3	2	1	1	 	 	2	1965	4	1	1	4	1	10	869448
780918	1961	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	1	1	1	1	1	99	1	2	5	2	2	2	5	2	5	5	1	2	1	1	99	4	1	1	1	1	1	1	2	1	2	 	99	1	2	 	3	3	1	1	1	1	1	1	1	3	1	2	2	2	1	2	2	2	3	10	10	10	10	10	10	10	10	 	 	 	 	8	8	5	5	2	0	0	0	2	2	 	 	1	0	2	1	6	4	1	9	785924
781018	1964	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	3	2	1	2	1	99	1	2	1	1	1	97	2	 	1	1	1	1	1	 	 	1	 	 	2	1	1	2	7	1	2	 	3	3	1	1	1	1	1	1	1	2	1	1	2	2	1	1	2	1	3	10	10	10	10	10	10	10	10	 	 	 	 	2	0	0	0	5	5	10	7	2	1	 	 	1	0	3	1	6	4	1	8	785924
781118	1969	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	4	5	2	2	4	2	2	1	5	2	5	5	1	1	1	5	2	2	1	1	 	4	4	 	5	5	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	4	1	3	5	1	1	1	99	1	3	10	8	9	8	10	9	10	9	 	 	 	 	4	0	6	1	4	0	2	1	2	1	1	 	1	0	3	1	6	99	1	7	785924
781218	1959	2	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	1	99	2	2	5	2	2	2	5	2	5	5	2	 	1	4	1	2	1	1	 	5	5	 	5	5	2	 	99	1	1	2	5	3	5	5	5	5	5	5	5	5	2	3	2	1	2	1	2	1	3	8	6	6	0	10	10	10	10	 	 	 	 	0	0	0	0	4	4	4	3	2	2	 	 	2	1970	4	1	1	1	1	9	869448
781318	1986	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	2	1	1	2	 	 	 	4	4	2	2	5	2	1	2	4	99	5	1	1	1	1	5	2	2	1	1	 	3	3	 	1	3	2	 	99	1	2	 	1	2	2	2	2	3	1	1	3	5	1	2	2	2	2	1	2	1	3	10	10	10	9	10	10	10	10	 	 	 	 	0	0	0	0	2	2	3	2	2	2	 	 	1	0	3	1	1	4	1	4	879393
781418	1976	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	3	1	1	1	1	1	2	 	 	 	4	1	2	4	2	2	3	4	1	1	5	1	1	1	1	1	1	2	1	1	 	1	1	 	2	4	1	1	2	1	1	2	1	3	2	2	1	1	1	1	1	2	2	2	2	2	4	1	1	2	3	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	9	8	8	6	2	2	 	 	1	0	4	1	6	1	1	6	748418
781518	1982	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	2	1	1	1	1	1	1	1	1	2	5	1	3	1	3	1	3	1	1	3	3	1	1	1	5	2	0	 	 	 	 	 	 	3	2	2	 	99	1	2	 	3	3	2	2	2	1	1	5	1	3	1	2	2	2	2	3	2	1	2	10	10	10	10	10	10	10	10	 	 	 	 	5	5	7	5	5	5	5	5	2	2	 	 	1	0	4	1	6	4	1	5	748418
781618	1965	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	1	1	1	1	2	 	 	 	2	3	1	3	1	2	1	4	5	1	5	97	2	 	1	5	2	2	1	1	 	1	1	 	3	3	2	 	99	1	2	 	1	1	1	1	1	1	1	1	1	5	2	2	2	1	1	1	1	1	3	10	10	8	8	10	10	10	10	 	 	 	 	0	0	0	0	6	6	6	6	1	1	 	 	1	0	3	1	6	4	1	8	785924
781718	1962	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	3	2	5	2	3	1	5	2	5	97	1	1	3	5	2	1	3	 	 	5	 	 	5	5	2	 	99	2	2	 	5	88	5	5	5	5	5	5	5	5	1	4	5	4	5	1	1	2	3	4	4	4	4	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	3	2002	3	2	6	4	1	9	807035
781818	1976	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	3	1	2	1	1	1	3	1	1	1	1	1	1	1	5	2	2	1	1	 	1	1	 	2	2	2	 	99	2	3	 	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	9	10	10	10	9	10	10	10	9	 	 	 	 	2	1	2	0	2	2	3	1	2	2	 	 	1	0	2	1	1	5	1	6	879393
781918	1970	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	4	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	 	1	1	 	3	3	2	 	99	1	2	 	1	3	1	1	1	2	1	2	2	2	1	1	2	2	1	1	1	1	2	10	10	10	10	10	10	10	10	 	 	 	 	4	3	3	0	7	7	7	8	2	2	 	5	1	0	3	1	1	4	1	7	873807
782018	1980	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	2	1	2	2	 	2	 	 	 	3	1	2	99	1	1	1	2	1	1	1	5	2	 	1	5	2	0	 	 	 	 	 	 	4	5	2	 	99	1	3	 	5	88	5	5	5	5	99	5	5	5	1	3	2	1	3	2	2	2	3	10	7	10	7	10	10	10	10	 	 	 	 	0	0	0	0	4	4	3	3	2	1	 	 	1	0	2	1	6	5	1	5	748418
782118	1996	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	3	2	1	1	1	1	2	 	 	 	3	3	2	2	5	2	1	3	1	1	97	1	1	2	1	5	2	0	 	 	 	 	 	 	4	4	1	1	3	7	 	 	99	99	3	3	3	3	3	3	3	4	2	2	2	2	1	1	1	1	3	10	10	10	8	10	10	10	8	 	 	 	 	1	1	1	0	7	7	7	7	2	2	 	 	1	0	3	1	1	99	1	2	933716
782218	1962	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	4	1	1	1	1	1	1	1	 	 	1	 	 	2	2	2	 	99	1	2	 	1	1	2	1	99	1	1	1	1	1	1	1	2	2	2	1	1	1	1	10	10	10	8	10	10	10	10	 	 	 	 	5	4	7	4	4	4	8	3	2	2	 	 	1	0	2	1	1	4	1	9	873807
782318	1968	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	1	1	1	1	2	2	2	2	1	2	1	3	1	1	5	1	1	1	1	2	2	1	1	 	 	1	 	 	1	1	2	 	99	1	2	 	1	2	2	2	1	2	1	99	1	2	1	1	99	1	1	1	99	1	2	10	9	10	8	9	9	10	8	 	 	 	 	6	6	8	7	3	1	3	0	1	1	 	 	1	0	4	1	6	4	1	7	785924
782418	1969	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	3	2	 	 	 	1	1	1	1	5	1	1	2	1	1	2	3	2	1	1	2	1	1	1	1	1	2	1	1	 	1	1	 	2	2	2	 	99	1	2	 	2	2	2	2	2	1	1	1	1	2	1	1	2	2	1	1	1	99	1	10	10	10	10	10	10	10	10	 	 	 	 	10	7	10	6	5	5	3	3	2	2	 	4	1	0	3	1	6	4	1	7	785924
782518	1965	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	1	2	2	 	2	 	 	 	2	5	3	2	5	2	3	3	5	2	5	5	1	1	3	5	2	2	3	3	 	5	5	 	5	5	2	 	99	9	1	1	5	88	5	5	5	5	5	5	5	5	5	4	5	4	2	99	1	2	3	5	0	4	0	10	10	10	10	 	 	 	 	1	0	0	0	3	1	3	1	1	1	 	 	3	2016	3	2	1	3	1	8	897285
782618	1968	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	2	 	2	 	 	 	4	4	2	1	5	2	2	2	4	2	5	5	1	1	2	4	2	2	1	1	 	4	3	 	5	4	2	 	99	1	2	 	4	4	3	3	5	5	5	5	4	5	2	3	2	1	2	99	2	1	3	9	6	8	4	10	10	10	8	 	 	 	 	3	0	0	0	6	4	4	2	2	2	 	4	1	0	4	1	1	4	1	7	873807
782718	1937	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	2	 	 	 	2	 	 	 	1	99	2	99	5	2	2	99	5	2	5	5	99	 	 	 	 	2	1	1	 	1	4	 	3	3	2	 	99	4	2	 	3	3	3	3	3	1	1	3	3	99	2	2	1	2	3	2	2	2	2	10	10	10	8	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	6	4	1	14	851135
782818	1985	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	1	1	1	1	2	 	 	 	2	3	2	2	4	2	2	2	4	2	5	5	1	1	1	3	2	0	 	 	 	 	 	 	2	3	2	 	99	1	4	 	2	1	3	3	2	1	1	3	3	3	3	2	2	2	1	2	2	2	2	10	10	10	10	10	10	10	10	 	 	 	 	2	0	0	0	5	3	5	2	2	2	 	1	1	0	4	1	6	6	1	4	748418
782918	1945	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	1	1	1	1	1	1	1	1	2	1	1	3	4	2	1	4	4	1	97	97	1	1	1	1	1	3	1	1	1	1	1	1	3	3	2	 	99	4	1	1	3	3	1	1	1	1	1	1	1	3	1	1	2	5	4	3	99	1	2	10	9	10	8	10	9	10	10	 	 	 	 	8	7	9	7	7	6	7	7	2	1	 	 	1	0	4	1	1	3	1	12	820840
783018	1980	193	 	1	1	1	1	 	1	1	1	1	 	 	 	 	193	2	2	 	 	 	1	1	1	1	3	5	3	3	6	193	3	3	6	193	6	6	1	1	3	5	139	1	1	 	 	5	 	 	5	4	2	 	99	8	 	 	99	99	4	4	99	1	1	5	5	5	5	3	2	2	2	1	1	2	3	6	6	5	5	8	8	8	8	 	 	 	 	5	5	5	5	0	0	0	0	2	1	 	 	3	2005	3	3	6	99	1	5	768500
783118	1958	2	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	3	5	2	99	5	2	2	99	5	1	5	5	3	 	 	 	 	0	 	 	 	 	 	 	5	5	2	 	99	9	5	 	5	4	4	4	4	4	4	4	4	5	5	3	2	1	3	2	99	99	3	5	3	2	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	99	 	 	2	1972	2	1	1	6	1	9	869448
783218	1979	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	1	1	1	1	2	 	 	 	3	3	2	2	5	2	1	2	5	2	5	5	1	1	1	3	2	1	1	 	 	2	 	 	3	3	2	 	99	1	1	1	2	2	3	3	2	2	2	2	2	4	1	2	2	2	1	1	1	2	2	10	10	10	10	10	10	10	10	 	 	 	 	3	3	3	3	6	6	7	7	2	2	 	 	1	0	3	1	1	3	1	5	879393
783318	1957	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	1	5	2	5	5	1	1	2	5	2	2	1	1	 	5	5	 	5	5	2	 	99	9	2	 	5	5	5	5	5	5	5	5	5	99	99	4	5	1	3	2	2	99	99	 	 	 	 	10	10	10	10	 	 	 	 	 	 	 	 	 	 	 	 	2	2	 	 	2	1968	1	1	6	4	1	10	782006
783418	1952	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	3	1	1	1	1	1	1	1	1	2	5	1	2	1	1	1	4	1	1	1	5	1	1	2	5	2	1	1	 	 	3	 	 	3	3	2	 	99	8	 	 	99	99	2	2	1	1	1	2	2	3	1	2	2	2	3	1	2	1	3	9	9	9	5	9	9	9	7	 	 	 	 	7	7	7	5	4	4	3	3	2	1	7	 	1	0	4	1	6	99	1	11	851135
783518	1943	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	1	5	2	5	5	1	1	2	5	2	2	1	1	 	5	5	 	5	5	2	 	99	4	1	1	5	5	5	5	5	5	5	5	5	5	1	4	5	1	3	2	3	2	5	7	3	5	3	10	10	9	6	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	2	1967	2	1	1	3	1	12	816746
783618	2001	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	4	5	1	99	5	2	1	3	5	2	5	5	1	2	1	5	2	0	 	 	 	 	 	 	5	5	1	1	5	7	 	 	99	99	3	3	5	99	99	5	5	4	1	3	2	2	2	2	2	2	3	10	10	10	9	10	10	10	10	 	 	 	 	0	0	0	0	4	4	5	6	2	2	 	 	1	0	3	1	6	99	1	1	890909
783718	1981	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	4	4	3	4	5	2	3	4	5	2	5	5	1	1	1	4	1	2	1	1	 	2	4	 	4	3	2	 	99	1	2	 	5	1	2	4	5	1	1	5	2	5	2	2	2	2	1	2	2	1	3	10	8	8	2	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	3	2001	4	2	6	4	1	5	768500
783818	1983	108	 	1	1	1	1	 	1	1	1	1	 	 	 	 	108	999	1	1	2	 	1	1	1	1	2	8	3	1	6	108	3	1	6	108	6	6	2	 	1	5	2	1	1	 	 	9	 	 	5	5	2	 	99	2	3	 	5	4	5	5	5	5	5	5	5	5	2	2	2	2	2	3	2	1	3	7	7	6	5	8	8	7	6	 	 	 	 	6	6	5	5	6	5	4	3	2	1	 	 	3	2000	3	1	6	5	1	4	768500
783918	1966	2	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	1	1	2	 	1	1	1	2	2	5	2	2	5	2	2	2	5	2	5	5	1	1	3	5	2	0	 	 	 	 	 	 	4	4	2	 	99	1	3	 	4	4	4	4	4	4	4	4	4	5	3	3	2	2	2	2	2	2	4	7	6	5	3	8	7	7	6	 	 	 	 	6	6	5	4	6	5	5	3	2	2	 	 	1	0	2	1	1	5	1	8	873807
784018	1993	234	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	6	9	3	2	6	234	3	3	6	234	6	6	1	1	3	8	234	2	1	1	 	3	3	 	4	4	2	 	99	99	 	 	99	99	4	4	4	4	4	4	4	4	3	3	1	2	3	3	3	99	4	7	7	7	5	8	8	8	6	 	 	 	 	0	0	0	0	2	2	2	1	2	99	 	 	3	2002	3	2	1	99	1	2	958772
784118	1999	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	1	1	1	2	1	1	4	1	1	3	3	5	2	5	6	2	 	3	1	1	0	 	 	 	 	 	 	2	1	1	1	2	7	 	 	99	99	1	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	10	10	10	7	10	10	10	8	 	 	 	 	7	7	7	4	8	8	8	8	2	2	 	 	1	0	3	2	1	99	1	1	933716
784218	1942	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	1	2	2	 	3	1	1	99	1	1	1	99	1	1	1	1	2	 	1	1	1	4	1	1	1	1	1	1	1	1	2	 	99	4	2	 	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	10	10	10	9	9	9	9	8	 	 	 	 	1	0	0	0	0	0	0	0	2	2	 	 	1	0	3	3	6	4	1	13	851135
784318	1982	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	3	1	1	1	1	99	1	1	1	1	1	1	3	 	 	 	 	0	 	 	 	 	 	 	3	3	2	 	99	2	3	 	3	3	99	3	3	3	3	3	3	99	1	2	2	2	4	3	3	1	3	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	1	0	2	1	1	5	1	5	879393
784418	2000	197	 	1	1	1	1	 	1	1	1	1	 	 	 	 	998	2	1	1	1	1	1	1	1	1	5	8	3	3	8	998	3	3	8	197	6	6	2	 	1	3	2	0	 	 	 	 	 	 	5	5	1	1	5	7	 	 	99	99	5	5	3	3	2	3	3	5	1	3	2	2	3	3	2	2	3	10	10	10	9	10	10	10	9	 	 	 	 	7	7	10	6	9	8	10	9	2	2	 	 	3	2007	3	2	1	99	1	1	958772
784518	1952	1	1	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	3	1	2	2	6	1	2	99	6	1	97	97	1	1	1	1	1	2	1	1	 	1	1	 	2	3	2	 	99	4	2	 	4	88	1	1	1	1	1	5	1	99	1	1	2	5	2	3	1	2	1	10	10	8	6	10	8	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	2	1972	2	1	6	4	1	11	846889
784618	1949	2	 	2	 	 	 	 	1	1	1	1	 	 	 	 	2	107	1	1	1	1	2	 	 	 	2	5	2	1	5	2	2	2	5	2	5	5	1	1	2	8	2	2	1	1	 	8	8	 	5	5	2	 	99	4	99	 	99	99	5	5	5	5	5	5	5	5	4	4	5	4	3	2	3	99	5	0	0	0	0	10	10	10	10	 	 	 	 	0	0	0	0	10	10	10	10	2	2	 	 	2	1964	4	1	6	99	1	11	846889
784718	1990	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	3	1	1	3	1	1	1	99	1	1	1	1	1	2	99	2	2	0	 	 	 	 	 	 	2	2	2	 	99	1	99	 	3	2	2	2	2	1	1	2	1	3	98	2	2	2	2	1	99	2	2	10	10	10	10	10	10	10	10	 	 	 	 	5	4	3	0	9	8	7	5	2	2	 	 	1	0	3	1	6	99	1	3	890909
784818	1986	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	3	3	1	3	1	1	1	3	1	2	1	5	1	2	1	1	1	0	 	 	 	 	 	 	3	3	2	 	99	1	2	 	3	3	3	3	3	3	3	3	3	3	5	2	2	2	1	2	2	2	3	10	10	10	10	10	10	10	10	 	 	 	 	5	3	3	0	8	8	8	8	2	2	 	 	1	0	4	1	6	4	1	4	748418
784918	1951	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	2	1	2	3	2	1	2	4	2	1	1	1	1	1	2	1	1	 	1	1	 	3	3	2	 	99	4	2	 	3	3	2	2	1	3	2	3	3	1	1	1	2	2	2	2	2	1	1	10	10	10	5	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	1	1	 	 	1	0	2	1	1	4	1	11	820840
785018	1964	2	 	1	2	1	2	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	1	5	2	5	5	2	 	1	5	2	1	1	 	 	5	 	 	5	5	2	 	99	2	3	 	5	5	5	5	5	5	5	5	5	5	1	4	5	4	2	3	3	2	4	9	3	8	6	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	1	0	3	1	6	5	1	8	785924
785118	1972	2	 	1	2	1	2	 	1	1	1	1	 	 	 	 	2	2	1	1	1	2	2	 	 	 	2	5	2	2	5	2	2	2	5	2	5	5	2	 	1	5	2	2	1	1	 	5	5	 	5	5	2	 	99	1	3	 	5	5	5	5	5	5	5	5	5	5	5	4	5	4	4	3	99	2	8	2	0	2	0	10	10	10	10	 	 	 	 	0	0	0	0	5	4	5	4	2	2	 	 	2	1988	2	1	6	5	1	7	782006
785218	1955	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	1	2	 	 	 	2	 	 	 	3	3	2	2	5	2	1	1	5	1	5	97	1	1	2	5	2	2	1	1	 	1	1	 	2	2	2	 	99	1	2	 	1	1	2	2	1	1	99	1	4	1	2	1	2	2	1	2	99	1	2	10	10	10	9	10	10	10	10	 	 	 	 	1	1	1	1	0	0	0	0	2	2	 	 	1	0	2	1	1	4	1	10	873807
785318	1999	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	2	1	1	3	1	2	1	3	1	1	1	1	3	 	 	 	 	0	 	 	 	 	 	 	2	4	1	1	2	7	 	 	99	99	4	4	1	99	99	99	5	1	2	2	2	2	2	2	1	1	9	10	9	10	9	10	9	10	9	 	 	 	 	0	0	0	0	8	7	9	9	2	1	6	 	1	0	3	1	1	99	1	1	933716
785418	1973	999	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	999	1	1	1	1	2	 	 	 	3	8	2	1	5	2	2	2	5	2	5	5	1	1	3	6	1	0	 	 	 	 	 	 	4	4	2	 	99	1	1	1	6	3	2	2	2	1	1	1	1	4	1	3	2	2	2	1	2	1	2	10	10	10	4	10	10	10	10	 	 	 	 	0	0	0	0	10	10	10	10	2	99	 	 	2	1973	2	1	1	3	1	6	875006
785518	1935	1	 	1	1	1	2	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	2	1	1	1	99	99	1	1	1	2	 	1	1	1	1	1	 	 	1	 	 	1	1	2	 	99	4	2	 	1	1	1	2	1	1	1	1	2	1	2	1	2	2	2	2	1	1	2	10	10	10	5	10	10	10	9	 	 	 	 	0	0	0	0	0	0	0	0	1	2	 	 	1	0	2	1	6	4	1	14	851135
785618	1927	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	2	1	2	 	99	4	1	2	1	2	1	1	1	1	1	1	1	5	2	1	4	5	99	2	99	1	1	8	7	5	2	5	4	4	5	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	1	1	1	16	820840
785718	1981	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	3	2	 	 	 	2	 	 	 	4	3	1	3	1	1	1	2	1	1	97	1	1	1	1	5	2	2	1	1	 	1	1	 	3	1	2	 	99	1	2	 	3	1	3	3	1	1	1	1	1	3	1	1	2	2	4	2	3	2	3	10	10	10	9	10	10	10	9	 	 	 	 	0	0	0	0	2	1	4	4	2	1	 	 	1	0	3	1	6	4	1	5	748418
