IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
491718	1983	2	998	1	1	1	1	 	1	1	1	1	 	 	 	 	998	2	2	 	 	 	2	 	 	 	6	4	3	2	5	2	3	2	5	2	6	6	2	 	3	5	2	1	1	 	 	5	 	 	5	3	2	 	99	1	1	1	5	3	5	5	3	3	3	3	3	5	5	2	2	2	3	1	1	2	1	8	8	8	7	10	10	10	10	 	 	 	 	4	2	1	1	1	1	1	1	1	1	 	 	3	2005	2	1	1	3	1	4	1403236
491818	1980	158	 	1	1	1	1	 	1	1	1	1	 	 	 	 	158	2	1	1	1	1	1	2	2	 	2	5	3	2	6	158	3	2	6	158	6	6	1	1	3	5	193	0	 	 	 	 	 	 	3	2	1	1	5	2	2	 	3	9	2	2	1	1	1	5	2	9	1	2	2	2	1	2	2	1	3	10	9	9	5	10	9	9	9	 	 	 	 	4	0	0	0	7	7	7	7	1	1	 	 	3	2008	4	2	1	4	1	5	1403236
491918	1988	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	1	1	1	2	3	5	2	2	5	2	2	2	5	2	5	5	2	 	1	3	1	0	 	 	 	 	 	 	4	4	2	 	99	1	2	 	3	4	3	4	4	2	2	4	4	4	2	2	1	2	2	2	2	1	4	10	9	10	10	10	10	10	10	 	 	 	 	3	2	6	0	5	6	8	6	2	2	 	 	1	0	4	1	1	4	1	3	1450933
492018	1973	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	4	1	1	4	5	2	1	3	1	1	5	1	1	1	1	1	1	2	1	1	 	1	1	 	3	3	2	 	99	1	2	 	2	3	3	3	3	3	1	3	3	3	2	2	2	2	3	2	2	1	3	10	9	9	9	10	9	9	9	 	 	 	 	1	0	0	0	5	5	7	6	2	2	 	 	1	0	4	1	1	4	1	6	1366524
492118	1983	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	3	1	1	1	1	2	 	 	 	3	5	1	3	1	3	1	2	1	3	1	1	2	 	3	6	105	0	 	 	 	 	 	 	2	4	1	2	2	2	3	 	1	3	3	3	1	1	1	2	2	3	1	2	2	2	4	2	3	1	2	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	8	7	8	6	2	2	 	 	1	0	4	1	6	5	1	4	1162989
492218	1951	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	1	2	1	1	1	99	2	1	5	2	2	2	5	2	97	5	3	 	 	 	 	0	 	 	 	 	 	 	4	4	2	 	99	4	99	 	3	3	3	3	3	3	3	3	5	5	2	3	2	2	3	2	2	1	3	10	10	8	6	10	10	10	10	 	 	 	 	5	5	4	4	0	0	0	0	2	2	 	4	1	0	3	1	6	99	1	11	1322615
492318	1982	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	4	5	2	2	5	2	2	2	5	2	5	5	1	1	1	5	2	2	1	1	 	5	5	 	5	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	5	1	4	5	1	1	1	1	2	3	8	8	10	5	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	6	4	1	5	1162989
492418	1944	2	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	2	5	2	2	2	5	2	5	5	1	1	2	5	2	3	1	1	2	5	5	5	4	4	2	 	99	4	2	 	4	88	4	4	5	1	1	3	3	5	99	3	2	2	2	2	1	1	3	9	7	9	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	1	1	 	 	2	1962	2	1	1	4	1	12	1269174
492518	1950	2	 	2	 	 	 	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	99	5	2	2	1	5	2	5	5	1	1	2	5	2	2	1	1	 	5	5	 	5	5	2	 	99	4	1	1	5	5	5	5	5	5	5	5	5	5	1	4	5	1	2	2	1	1	4	3	0	0	0	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	1	 	 	2	1969	2	1	1	3	1	11	1269174
492618	1961	2	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	1	2	2	 	2	 	 	 	3	5	3	2	5	2	3	3	8	158	5	8	1	1	3	5	2	1	1	 	 	5	 	 	5	5	2	 	99	1	2	 	5	9	5	5	5	5	5	5	5	5	5	3	99	2	1	1	1	2	3	8	6	6	3	10	10	10	10	 	 	 	 	4	4	4	4	6	6	6	6	2	1	 	 	3	1990	4	2	6	4	1	9	1254084
492718	2001	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	5	1	1	4	1	1	1	4	1	1	1	1	3	 	 	 	 	0	 	 	 	 	 	 	1	1	2	 	99	7	 	 	99	99	4	1	99	99	99	3	1	2	5	2	1	2	2	2	99	1	2	10	10	10	10	10	9	9	10	 	 	 	 	0	0	0	0	7	6	6	5	2	2	 	 	1	0	2	1	1	99	1	1	1450933
492818	1957	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	2	 	 	 	2	 	 	 	3	5	2	2	5	2	2	2	5	2	97	97	1	1	2	5	2	2	1	1	 	3	3	 	3	3	2	 	99	1	2	 	3	3	3	3	1	99	99	3	1	5	1	3	2	2	3	1	2	2	1	10	10	10	5	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	1	1	 	 	2	1962	4	1	1	4	1	10	1351071
492918	1967	2	 	1	2	2	 	 	1	1	1	1	 	 	 	 	142	142	2	 	 	 	2	 	 	 	4	8	2	1	6	142	2	1	6	142	6	6	1	1	3	6	998	2	1	1	 	6	6	 	5	5	2	 	99	1	1	1	5	5	5	5	5	5	5	5	5	5	99	4	5	1	4	99	99	2	5	5	0	5	0	10	10	10	8	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	2	0	2	1	1	3	1	8	1351071
493018	1998	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	3	4	1	3	5	2	1	3	5	2	5	5	1	1	1	5	2	0	 	 	 	 	 	 	4	4	2	 	99	1	3	 	5	8	4	5	5	5	5	5	5	5	5	3	5	2	3	2	3	1	3	10	9	8	10	10	10	10	10	 	 	 	 	5	0	0	0	5	5	6	5	2	2	 	 	1	0	3	1	1	5	1	1	1450933
493118	2001	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	1	1	1	1	3	3	3	3	4	2	1	3	1	1	5	1	2	 	1	4	99	0	 	 	 	 	 	 	3	4	1	1	3	7	 	 	99	99	3	3	99	99	99	3	2	4	2	2	2	2	2	99	1	2	2	10	10	10	10	10	10	10	10	 	 	 	 	7	6	8	5	10	9	10	9	2	2	 	 	1	0	3	1	6	99	1	1	1384420
